iter	Passed	Remaining
416	2671	1287
417	2677	1281
418	2682	1274
419	2687	1266
420	2693	1260
421	2699	1253
422	2704	1246
423	2710	1240
424	2714	1232
425	2719	1225
426	2724	1218
427	2730	1212
428	2736	1205
429	2741	1198
430	2746	1191
431	2753	1185
432	2757	1178
433	2762	1171
434	2768	1164
435	2774	1158
436	2780	1151
437	2785	1144
438	2789	1137
439	2796	1131
440	2800	1123
441	2804	1116
442	2809	1109
443	2814	1103
444	2819	1095
445	2825	1089
446	2830	1082
447	2837	1076
448	2841	1069
449	2848	1063
450	2853	1056
451	2859	1050
452	2865	1043
453	2869	1036
454	2875	1030
455	2880	1023
456	2885	1016
457	2891	1010
458	2896	1003
459	2902	996
460	2907	990
461	2913	983
462	2919	977
463	2925	971
464	2930	964
465	2936	957
466	2940	950
467	2944	943
468	2949	936
469	2954	930
470	2958	923
471	2963	916
472	2968	909
473	2972	902
474	2976	896
475	2981	889
476	2986	882
477	2990	875
478	2994	869
479	2999	862
480	3004	855
481	3009	849
482	3013	842
483	3017	835
484	3022	828
485	3028	822
486	3033	815
487	3038	809
488	3042	802
489	3046	795
490	3050	789
491	3054	782
492	3059	775
493	3065	769
494	3071	763
495	3075	756
496	3080	749
497	3085	743
498	3089	736
499	3093	730
500	3097	723
501	3102	716
502	3107	710
503	3112	703
504	3116	697
505	3121	690
506	3126	684
507	3131	677
508	3135	671
509	3140	665
510	3144	658
511	3148	651
512	3153	645
513	3158	639
514	3163	632
515	3168	626
516	3174	620
517	3180	614
518	3184	607
519	3190	601
520	3194	594
521	3198	588
522	3205	582
523	3209	575
524	3216	569
525	3220	563
526	3227	557
527	3231	550
528	3238	544
529	3242	538
530	3249	532
531	3253	525
532	3257	519
533	3261	513
534	3265	506
535	3271	500
536	3275	494
537	3280	487
538	3284	481
539	3288	475
540	3293	468
541	3299	462
542	3304	456
543	3308	450
544	3312	443
545	3317	437
546	3321	431
547	3325	424
548	3330	418
549	3334	412
550	3339	406
551	3344	399
552	3350	393
553	3355	387
554	3359	381
555	3364	375
556	3368	368
557	3372	362
558	3378	356
559	3382	350
560	3386	344
561	3390	337
562	3395	331
563	3399	325
564	3404	319
565	3409	313
566	3415	307
567	3419	301
568	3426	295
569	3430	288
570	3435	282
571	3440	276
572	3444	270
573	3449	264
574	3456	258
575	3460	252
576	3465	246
577	3469	240
578	3474	234
579	3478	227
580	3483	221
581	3488	215
582	3492	209
583	3497	203
584	3501	197
585	3506	191
586	3510	185
587	3514	179
588	3519	173
589	3524	167
590	3529	161
591	3533	155
592	3538	149
593	3545	143
594	3550	137
595	3554	131
596	3558	125
597	3563	119
598	3568	113
599	3572	107
600	3577	101
601	3581	95
602	3586	89
603	3590	83
604	3595	77
605	3600	71
606	3604	65
607	3609	59
608	3613	53
609	3618	47
610	3623	41
611	3627	35
612	3631	29
613	3636	23
614	3641	17
615	3645	11
616	3651	5
617	3656	0
