iter	RMSE
297	3.905313599
298	3.902800299
299	3.899876455
300	3.899261739
301	3.898577015
302	3.898117331
303	3.897542639
304	3.895337213
305	3.894407354
306	3.893515231
307	3.890696119
308	3.889639792
309	3.889057126
310	3.887473594
311	3.886953417
312	3.8859273
313	3.885287356
314	3.88475948
315	3.883793044
316	3.883451681
317	3.883088784
318	3.881737487
319	3.878534037
320	3.876364872
321	3.875551747
322	3.873806925
323	3.873347178
324	3.873024284
325	3.870941449
326	3.869898431
327	3.86951513
328	3.868677363
329	3.868275536
330	3.867353788
331	3.866242156
332	3.864611048
333	3.86325895
334	3.862708926
335	3.859960231
336	3.859321368
337	3.858369318
338	3.857310508
339	3.856512633
340	3.852635837
341	3.850644725
342	3.850363802
343	3.84968499
344	3.847927148
345	3.846413407
346	3.844235731
347	3.842276193
348	3.840792117
349	3.840122973
350	3.838943417
351	3.836899128
352	3.833997524
353	3.833050407
354	3.831629367
355	3.830646117
356	3.827204387
357	3.826215855
358	3.825237347
359	3.82336295
360	3.822477443
361	3.818721932
362	3.817705485
363	3.816968698
364	3.815633873
365	3.815031111
366	3.812103465
367	3.811346981
368	3.809865191
369	3.808909759
370	3.807314509
371	3.805621137
372	3.804976815
373	3.804720424
374	3.804048683
375	3.80309875
376	3.802509161
377	3.801214588
378	3.800619374
379	3.799907231
380	3.798481255
381	3.798159843
382	3.79744048
383	3.797094978
384	3.796238134
385	3.794689329
386	3.789802273
387	3.789146504
388	3.78784756
389	3.787584897
390	3.786056547
391	3.785245112
392	3.784629643
393	3.783647132
394	3.783182131
395	3.78248424
396	3.78126097
397	3.780574021
398	3.779920021
399	3.77892265
400	3.77785666
401	3.776415468
402	3.775835836
403	3.775229254
404	3.774549619
405	3.774000023
406	3.773697529
407	3.772527291
408	3.769895658
409	3.769758089
410	3.768776643
411	3.767902204
412	3.767681548
413	3.767189998
414	3.766718977
415	3.765845011
416	3.765409824
417	3.763748022
418	3.76356333
419	3.763273387
420	3.762265607
421	3.761392182
422	3.761225851
423	3.760538852
424	3.760316991
425	3.760249141
426	3.760081788
427	3.759285203
428	3.756932637
429	3.756802631
430	3.75669179
431	3.755204724
432	3.754818572
433	3.754594707
434	3.753099581
435	3.752315114
436	3.751542888
437	3.751433209
438	3.751119801
439	3.750446344
440	3.750371816
441	3.750032669
442	3.749856115
443	3.749440711
444	3.749147834
445	3.748003064
446	3.747929147
447	3.746921346
448	3.746815688
449	3.746136872
450	3.746080874
451	3.74474382
452	3.744395683
453	3.744300451
454	3.743150513
455	3.742901361
456	3.742402017
457	3.74204088
458	3.741340624
459	3.740474588
460	3.740395042
461	3.739602619
462	3.739126786
463	3.737896154
464	3.737826499
465	3.736763246
466	3.736657913
467	3.736580444
468	3.736437544
469	3.73598878
470	3.735854742
471	3.735800958
472	3.735626482
473	3.735531584
474	3.735473844
475	3.735317825
476	3.735178399
477	3.735089864
478	3.734920009
479	3.734824322
480	3.734466387
481	3.734186402
482	3.734141653
483	3.733956958
484	3.733848099
485	3.733116135
486	3.732884596
487	3.732792335
488	3.7325276
489	3.732435394
490	3.732282792
491	3.732184916
492	3.732073208
493	3.731364154
494	3.730962505
495	3.730896631
496	3.730015417
497	3.729530218
498	3.729489746
499	3.729317948
500	3.729152952
501	3.729030091
502	3.728502279
503	3.728302119
504	3.728206647
505	3.728121927
506	3.728026136
507	3.727484018
508	3.727417432
509	3.727376148
510	3.727155357
511	3.726874384
512	3.726791241
513	3.726604823
514	3.726393985
515	3.726308561
516	3.725256241
517	3.72400004
518	3.723958734
519	3.723002279
520	3.722745653
521	3.722461488
522	3.718662223
523	3.718515369
524	3.717148369
525	3.716916877
526	3.715559745
527	3.715339318
528	3.714185208
529	3.714022741
530	3.713501218
531	3.713336673
532	3.713195454
533	3.712953938
534	3.712733467
535	3.712196015
536	3.712110191
537	3.71192981
538	3.711870023
539	3.711481683
540	3.711418999
541	3.710170171
542	3.709983623
543	3.70984693
544	3.709750583
545	3.709536512
546	3.709496649
547	3.709176012
548	3.709005617
549	3.708778552
550	3.708451317
551	3.708319158
552	3.707429807
553	3.707384468
554	3.707215453
555	3.70704115
556	3.706860125
557	3.706742495
558	3.70486635
559	3.704838596
560	3.704661308
561	3.704566143
562	3.704231135
563	3.704141668
564	3.704083936
565	3.704008359
566	3.700910746
567	3.700732038
568	3.699331426
569	3.699266571
570	3.699147884
571	3.699112362
572	3.699062737
573	3.698910212
574	3.696656683
575	3.696624738
576	3.696496424
577	3.69623071
578	3.695957628
579	3.695921585
580	3.695152612
581	3.694905461
582	3.694752417
583	3.694665552
584	3.694589948
585	3.69436941
586	3.694296848
587	3.693876084
588	3.693225323
589	3.692553497
590	3.691930885
591	3.691793721
592	3.691432559
593	3.689654919
594	3.689527495
595	3.689481241
596	3.689296124
597	3.688784021
598	3.688618931
599	3.688428665
600	3.687090722
601	3.686974391
602	3.686841963
603	3.686724276
604	3.686451143
605	3.685802892
606	3.685746074
607	3.685659317
608	3.685327122
609	3.684673008
610	3.684528566
611	3.684242059
612	3.684183658
613	3.683959095
614	3.683711907
615	3.683052084
616	3.682489728
617	3.682452288
