iter	RMSE
0	9.174703751
1	9.022663302
2	8.871276749
3	8.720664683
4	8.57989089
5	8.445225614
6	8.313512196
7	8.180719775
8	8.060787104
9	7.944423738
10	7.82832753
11	7.717906377
12	7.611145913
13	7.506906743
14	7.410809835
15	7.31403245
16	7.220672883
17	7.126949278
18	7.038005484
19	6.954511744
20	6.876063426
21	6.802619739
22	6.729435263
23	6.658215371
24	6.587283653
25	6.519615223
26	6.455850575
27	6.39355978
28	6.331238398
29	6.274052112
30	6.214591034
31	6.161069335
32	6.106418777
33	6.0570331
34	6.008689209
35	5.95983899
36	5.913385133
37	5.871978929
38	5.829838959
39	5.792287842
40	5.745852158
41	5.705766306
42	5.664562745
43	5.62318607
44	5.576436245
45	5.537668654
46	5.505486113
47	5.473069013
48	5.433092727
49	5.403462055
50	5.375991669
51	5.348654881
52	5.317540992
53	5.289717344
54	5.262693681
55	5.234519042
56	5.209742942
57	5.188536856
58	5.165642892
59	5.141599794
60	5.117876658
61	5.095144966
62	5.073639563
63	5.0524825
64	5.026789566
65	5.007449852
66	4.981081651
67	4.953475908
68	4.937770502
69	4.92445138
70	4.903778399
71	4.886995083
72	4.872944158
73	4.854591693
74	4.836083581
75	4.818389699
76	4.787719856
77	4.770895734
78	4.759942742
79	4.747829557
80	4.726917025
81	4.717083176
82	4.705808247
83	4.691727929
84	4.681147297
85	4.66840412
86	4.649340191
87	4.636826099
88	4.622516113
89	4.604647756
90	4.597963394
91	4.588793299
92	4.57709889
93	4.566774805
94	4.555894631
95	4.543738827
96	4.526004698
97	4.518271499
98	4.505278957
99	4.497074097
100	4.486785194
101	4.476802297
102	4.466588067
103	4.450693349
104	4.445189045
105	4.436242153
106	4.428383971
107	4.416650664
108	4.41129173
109	4.40490362
110	4.397628114
111	4.384960255
112	4.373176728
113	4.36566913
114	4.360346976
115	4.355613668
116	4.3523906
117	4.343728075
118	4.338458774
119	4.329561024
120	4.321041077
121	4.310465144
122	4.302352897
123	4.299007688
124	4.29520792
125	4.290022627
126	4.283971922
127	4.276870434
128	4.273067601
129	4.268095692
130	4.264194049
131	4.261393084
132	4.258075465
133	4.255488181
134	4.251868636
135	4.245960319
136	4.238387435
137	4.232197322
138	4.225336242
139	4.223205129
140	4.216247172
141	4.209651967
142	4.206430288
143	4.201308018
144	4.197424117
145	4.194915954
146	4.192417185
147	4.190498183
148	4.18881279
149	4.182535726
150	4.178615303
151	4.176617043
152	4.17477878
153	4.170960909
154	4.160038921
155	4.158713992
156	4.153156577
157	4.148423258
158	4.145609425
159	4.14421917
160	4.141013367
161	4.137726194
162	4.133641506
163	4.130807729
164	4.128234833
165	4.125190029
166	4.123037203
167	4.120857397
168	4.116870293
169	4.115643831
170	4.114711342
171	4.111769874
172	4.109667939
173	4.105007557
174	4.094043404
175	4.092288444
176	4.088799396
177	4.086038266
178	4.085376222
179	4.084421231
180	4.082689117
181	4.081306909
182	4.077233913
183	4.07641335
184	4.074339111
185	4.066893292
186	4.066290443
187	4.064086118
188	4.062484307
189	4.061401851
190	4.057019504
191	4.0548261
192	4.052822107
193	4.051755071
194	4.049542957
195	4.047466795
196	4.044034294
197	4.043118554
198	4.042294441
199	4.040900244
200	4.039448534
201	4.038825
202	4.037203311
203	4.034025571
204	4.03135369
205	4.029873118
206	4.028838823
207	4.028486535
208	4.027271268
209	4.025366585
210	4.021127666
211	4.020014968
212	4.018867994
213	4.017272212
214	4.014862342
215	4.013195646
216	4.01249802
217	4.011223233
218	4.007444258
219	4.006955711
220	4.004856244
221	4.003088382
222	4.001956592
223	4.001017028
224	3.999231573
225	3.99836808
226	3.997401174
227	3.995066559
228	3.993397495
229	3.992161349
230	3.989730331
231	3.989231804
232	3.98819826
233	3.987395596
234	3.985928499
235	3.983875992
236	3.98312635
237	3.982295413
238	3.981555732
239	3.980273021
240	3.978468324
241	3.977935895
242	3.976747578
243	3.975552896
244	3.973075924
245	3.971706379
246	3.971144727
247	3.968858197
248	3.967455363
249	3.966825315
250	3.965584356
251	3.963929337
252	3.962267541
253	3.961020666
254	3.960340735
255	3.959762971
256	3.959034597
257	3.958187243
258	3.956440352
259	3.955867343
260	3.955472864
261	3.953673816
262	3.953299099
263	3.951129832
264	3.95014983
265	3.949417714
266	3.949038376
267	3.948110261
268	3.94697822
269	3.946047474
270	3.94493929
271	3.94361503
272	3.942146817
273	3.941357589
274	3.939115274
275	3.93424041
276	3.932866758
277	3.92992161
278	3.928956466
279	3.927616143
280	3.926273684
281	3.925163845
282	3.92470349
283	3.923619239
284	3.922004247
285	3.921354448
286	3.918770321
287	3.918161308
288	3.916708193
289	3.913085332
290	3.912806241
291	3.912262734
292	3.911879103
293	3.910311319
294	3.909113943
295	3.908332679
296	3.907452637
